"Дата, время начала",Районы,подтвержденные (прогноз оправдался),"НЯ, ОЯ, КНЯ",Тип явления,Критерий,Характеристика,Последствия
2016-11-15 00:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое, Аномально холодная погода,15-17 ноября 2016 в ПК  ожидается аномально холодная погода с темп-ой воздуха на 7 гр. и более ниже климатической нормы.,
2016-11-20 00:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое, Аномально холодная погода,,
2016-11-30 09:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально холодная погода,в период с 30 ноября по 5 декабря по северу Пермского края ожидается аномально холодная погода со среднесуточной температурой воздуха на 7 и более градусов ниже климатической нормы.,
2016-12-10 00:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,,
2016-12-17 09:00:00,Местами по краю,,ОЯ,КНЯ, Аномально холодная погода,В период с 17 декабря по 22 декабря по  Пермскому краю ожидается аномально холодная погода со среднесуточной температурой воздуха на 7 и  более градусов ниже климатической нормы.,
2016-12-18 00:01:00,Местами по краю,,ОЯ,Метеорологическое, Сильный мороз,Ночью 18.12.2016 г. местами по северу сильный мороз -40С и ниже,
2016-12-20 06:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое, Сильный мороз," 20 декабря  в Пермском крае ожидается мороз -30,-35°, в горах и низинах сильный мороз до -40°.",
2017-01-09 00:00:00,"Пермский МР, Краснокамский МР, Александровский МР, ГО г. Березники (район), Соликамск  (район) МР, Усольский МР, Чердынский МР, Красновишерский МР, Лысьва (район) МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Кунгурский МР", +,ОЯ,Метеорологическое," Сильный мороз , Аномально холодная погода","ожидается мороз -30,-37о, по северу, в низких и горно-восточных районах сильный мороз -40,-45",
2017-01-25 00:30:00,Местами по краю,,ОЯ,Метеорологическое, Сильный мороз,"25 и 26 января в Пермском крае ожидается мороз -30, -38, по северу, востоку сильный мороз -40 , -42.",
2017-02-07 00:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный мороз,С 7 по 11 февраля по краю ожидается аномльно холодная погода со среденесуточной температурой воздуха на 7 и более градусов ниже климатической нормы,
2017-04-05 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный ветер,"5 апреля по Пермскому краю ожидается сильные гололедные явления, усиление юго западного ветра 20-25м/с",
2017-04-20 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","вечером 20 апреля и ночью 21 апреля местами по Пермскому краю ожидаются сильные осадки (мокрый снег, снег), сильные гололедные явления, усиление юго-восточного  ветра 20-25 м/с, метель.",
2017-05-03 10:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"Днем порывы ветра 17-22 м/с, в отдельных районах грозы, местами сильные дожди",
2017-05-03 16:00:00,Местами по краю,,КНЯ,КНЯ, Очень сильный ветер,"во второй половине дня 3 мая и первой половине ночи 4 мая местами по Пермскому краю ожидаются сильные ливни, усиление юго-западного ветра 20-25 м/с, крупный град",
2017-05-07 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"7-9 мая сохранятся заморозки в воздухе и на поверхности п очвы -2, -7.",
2017-05-07 06:00:00,Местами по краю,,ОЯ,КНЯ, Очень сильный снег,"местами по краю наблюбдается сильное мокрого снега 35 мм и более. в ближайшие 1-2 часа, с сохранением в первой половине 7 мая ОЯ сохранится",
2017-05-10 22:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночью 11 мая местами по краю ожидаются заморозки на почве и в воздухе -2,-5",
2017-05-11 11:00:00,Местами по краю,,НЯ,КНЯ, Очень сильный ветер,Порывы ветра 15-20 м/с,
2017-05-12 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"12-14 мая местами по Пермскому краю ожидаются заморозки в воздухе и на поверхност почвы -2, -4",
2017-05-12 00:00:00,"Пермский МР, Краснокамский МР, ГО г. Пермь, ГО г. Краснокамск", +,НЯ,Гидрологическое, Половодье,"Уровень нижнего бьефа достигнет 90,20 м БС",
2017-05-15 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"15-17 мая в Пермском крае ожидаются заморозки в воздухе и на поверхности почвы -2, -6, в г. Перми -2, -3.",
2017-05-16 06:00:00,"Пермский МР, Краснокамский МР, ГО г. Пермь, ГО г. Краснокамск", +,НЯ,Гидрологическое, Половодье,"Уровень нижнего бьефа достигнет отметки 91,3 м БС.",
2017-05-18 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,18-19 мая местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2.,
2017-05-22 23:30:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"22-23 мая местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -1, -3.",
2017-05-23 21:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,24-26.05 местами ожидаются заморозки в воздухе и на поверхности почвы до -4°.,
2017-05-26 15:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Крупный град","в ближайшие 1-3 часа, и вечером 26.05, ночью и днем 27.05 ночью 28,05 местами по ПК ожидаются грозы, крупный град, ЮЗ ветер, порывы 20-25  м/с, очань сильный дождь",
2017-05-28 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,Ночью 28 и 29.05 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -3°.,
2017-05-30 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,Ночью с 30.05 по 01.06 местами по Пермскому краю ожидаются заморожки в воздухе и на поверхности почвы до -4.,
2017-05-30 08:00:00,"Пермский МР, Краснокамский МР, ГО г. Пермь, ГО г. Краснокамск",,ОЯ,Гидрологическое, Половодье,"Уровень нижнего бьефа достигнет отметки 92,40 м БС.",
2017-06-03 00:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","3 , 4 и 5 июня метсами по Пермскому краю ожидаются грозы, сильные дожди, при грозах усиление ветра 15-20 м/с, по восточным районам очеь сильные дожди, сильные ливни, крупный град, шквалистое усиление ветра 20-25 м/с.",
2017-06-11 00:00:00,"Александровский МР, Красновишерский МР, Лысьва (район) МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Чусовской МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Кизел, ГО г. Лысьва, ГО г. Чусовой, ГО г. Горноз",,ОЯ,Агрометеорологическое, Заморозки,"ночью 11 июня местами по востоку Пермского края ожидаются заморозки в воздухе и на поверхности почвы 0, -2.",
2017-06-17 09:00:00,Местами по краю,,ОЯ,КНЯ," Очень сильный ветер , Шквал , Очень сильный дождь , Сильный ливень , Крупный град","17-19 июня местами по Пермскому краю ожидаются грозы, крупный град, сильные и очень сильные дожди, при грозах усиление ветра 15-20 м/с, в отдельных районах шквалистое усиление ветра 20-25 м/с.",
2017-06-25 09:00:00,Местами по краю, +,ОЯ,Метеорологическое," Очень сильный ветер , Шквал , Очень сильный дождь","днем 25 и ночью 26 июня местами по Пермскому краю ожидаются грозы, град, сильные и очень сильные дожди, шквалистое усиление ветра 20-25 м/с.",В Кунгурском МР выпало 29 мм осадков. По горно восточным районам за ночь выпало 32 мм.
2017-06-26 08:00:00,"Пермский МР, Краснокамский МР, ГО г. Пермь, ГО г. Краснокамск",,ОЯ,Гидрологическое, Паводок,"Уровень нижнего бьефа достигнет отметки 91,54 м БС.",
2017-07-02 00:00:00,Местами по краю, +,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","сильные и очень сильные дожди, грозы, крупный град, шквалистое усиление ветра 20-25 м/с.",
2017-07-06 00:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","ночью с сохранением днем 06.07 местами по Пермскому краю ожидаются грозы, сильные дожди, ливни, град, усиление юго-восточного ветра 19-24 м/с.",
2017-07-07 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный дождь,ночью  7  местами по востоку сохранится очень сильный дождь,
2017-07-17 18:00:00,Местами по краю, +,ОЯ,КНЯ," Очень сильный ветер , Очень сильный дождь , Град, ливень, сильный дождь, сильный ветер","Ближайшие 1-2 часа и вечером 17 июля и местами по Пермскому краю ожидается очень сильный дождь, крупный град, усиление ветра 20-25 м/с.",
2017-07-18 14:00:00,Местами по краю,,ОЯ,Метеорологическое," Шквал , Очень сильный дождь , Крупный град","Во второй половине дня, вечером 18.07 и 19.07 местами по Пермскому краю ожидаются очень сильный дождь, крупный град,  шквалистое усиление ветра 20-25 м/с.",
2017-07-19 20:00:00,Местами по краю,,ОЯ,КНЯ, Очень сильный ветер,шквалистое усиление ветра 20-25 м/с.,
2017-07-22 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный дождь,22 июля очень сильный дождь,
2017-08-01 09:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный ветер,"Днем 1 августа и ночью 2 августа местами по Пермскому краю ожидаются сильные, очень сильные  дожди, сильные ливни, грозы, крупный град, шквалистое усиление ветра 20-25 м/с.",
2017-08-05 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Крупный град","Вечером 05 и ночью 06.08 местами по Пермскому краю ожидаются сильные, очень сильные  дожди, сильные ливни, грозы, крупный град, усиление ветра 15-20 м/с.",
2017-08-21 15:00:00,Местами по краю, +,ОЯ,Метеорологическое, Аномально жаркая погода, 21 -25 августа местами по северу  ПК ожидается анормально жаркая погода,
2017-08-24 09:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,Местами по ПК ожидается высокая пож.опасность,
2017-09-03 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,03.09.2017 местами по Пермскому краю сохранится высокая пожарная опасность,
2017-09-04 12:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,"Днем 04 сентября местами по Пермскому краю ожидаются сильные, очень сильные дожди.",
2017-09-06 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"06-07.09 в Пермском крае местами на поверхности почвы и низинах ожидается заморозок 0, -2",
2017-09-11 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"11 и 12 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -3. В г. Перми на поверхности почвы до -1.",
2017-09-13 03:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"13 сентября в Пермском крае местами на поверхности почвы и в воздухе ожидаются заморозки 0, -2°.",
2017-09-20 23:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально холодная погода,"Ночью 21-23 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 21.09  0, -2°, 22-23.09  -1°, -6°.",
2018-01-05 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,местами в горно-восточных районах сильная изморозь,
2018-01-15 18:00:00,"Чердынский МР, Красновишерский МР, Гайнский МР",,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,"Вечером 15 января 2018г., с сохранением в течение суток 16 января местами по Пермскому краю ожидается сильное сложное отложение.",
2018-01-18 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,"местами ожидается сильное сложное отложение, сильная изморозь",
2018-02-23 20:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое, Аномально холодная погода,23-28 февраля по Пермскому краю ожидается аномально холодная погода,
2018-04-29 00:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами по Пермскому краю ожидается очень сильный дождь (50 мм, в горных и ливнеопасных районах 30 мм и более), усиление северо-восточного, северного ветра 20-25 м/с, грозы.",
2018-05-09 00:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое, Очень сильный дождь,в горно-восточных районах очень сильный дождь (30 мм и более),
2018-05-10 08:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,,
2018-05-12 21:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,13 мая местами по ПК сохранятся заморозки в воздухе и на поверхности почвы -1 -3С,
2018-05-15 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"15-16 мая по Пермскому краю ожидаются хаморозки в вохдухе и на поверхности почвы -1,-4",
2018-05-16 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,16-18 местами по югу ожидается высокая пожарная опасность (4 класс),
2018-05-17 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночьб и утром 17-19.05 местами сохраняются заморозки в воздухе и на поверхности почвы 0, -5, 17.05 в перми 0,-2",
2018-05-20 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,20-23 местами по югу ожидается высокая пожарная опасность (4 класс),
2018-05-25 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,ночью заморозки в воздухе и на поверхности почвы,
2018-05-24 14:00:00,Местами по краю,,ОЯ,Метеорологическое, Шквал,В ближайшие 1-3 часа с сохраннением до конца дня 24 мач местами по краю шквалистое усиление ветра 22-27 м/с,
2018-05-30 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Крупный град","Вечером 30.05 и ночью 31.05 местами по югу Пермского края ожидается шквалистое усиление ветра 20-25 м/с, крупный град.",
2018-06-01 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,ночью 1-3 июня местами по ПК ожидаются заморозки в воздухе и на пов.почвы,
2018-06-04 01:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 04 июня местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -1,-3°.",
2018-06-05 17:00:00,Местами по краю, +,ОЯ,Метеорологическое," Шквал , Сильный ливень , Крупный град","вечером 05.06 и в первой половине ночи 06.06 местами в Пермском крае ожидается шквалистое усиление ветра 21-26 м/с, крупный град, ливневые дожди.","Порывы ветра до 23,  сильные дожди"
2018-06-07 22:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"местами заморозки в воздухе и на поверхности почвы -1,-2°.",
2018-06-11 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,,
2018-06-20 20:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое," Шквал , Сильный ливень , Сильная метель","вечером 20.06 с сохранением ночью 21.06 местами в Пермском крае ожидаются грозы с крупным градом, сильными ливнями, шквалистым усилением ветром 20-25 м/с.",
2018-07-02 08:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,2-4 июля местами по Пермскому краю ожидается высокая пожарная опасность 4 класс,
2018-07-04 18:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Крупный град","вечером 04.07 ночью 05.07 ожидаются очень сильный дождь, грозы, крупный град, шквалистое усиление ветра 20-25 м/с",
2018-07-06 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,Во второй половине 06.07 с сохранением в первой половине ночи 07.07. местами по востоку ПК ожидается очень сильный дождь,
2018-07-09 06:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,9-10 июля местами по Пермскому краю сохранится высокая пожарная опасность 4 класс,
2018-07-08 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Шквал , Очень сильный дождь , Крупный град","вечером 08.07, ночью и днем 09.07  ночью 10.07 на территории Пермского края ожидаются грозы с крупным градом, очень сильными дождями, шквалистым усилением ветром 20-25 м/с.",
2018-07-11 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","вечером 11.07, ночью и днем 12.07 местами по краю ожидаются грозы, сильные дожди, по востоку в отдельных районах очень сильные дожди, усиление ветра 15-20 м/с.",
2018-07-18 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,18-20 июля местами по краю ожидается высокая пожарная опасность (4 класс).,
2018-07-24 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,24-26.07 местами по краю сохраняется высокая пожарная опасность 4класс,
2018-07-28 18:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","Во второй половине дня 28 июля и ночью 29 июля местами на территории Пермского края ожидаются грозы, сильные дожди, по востоку в отдельных районах очень сильные дожди, при грозах усиление ветра 20-25 м/с, град.",
2018-07-29 00:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,Днем 29.07 местами по краю сохранится очень сильный дождь,
2018-07-29 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,30.07-08.2018 местами по краю сохранится высокая пожарная опасность 4 класс,
2018-08-02 12:00:00,Чердынский МР,,ОЯ,Метеорологическое,,02.08.2018 местами по краю ожидается чрезвычайная пожарная опасность 5 КПО,
2018-08-03 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,3-5.08 высокая пожарная опсность 4 класс,
2018-08-03 16:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный ветер,"В ближайшие 1-3 часа и вечером 03 августа местами по Югу Пермского края ожидается очень сильный дождь, крупный град, шквалистое усиление ветра 20-25 м/с.","По уточненным данным порывы ветра составили до 16 м/с, выпало 14 мм осадков.  "
,,,,,,,На территории г. Перми имеются последствия порывов ветра в виде: 
,,,,,,,- упавших деревьев (более 10 случаев);  
,,,,,,,"- частично оторваны листы кровли (3 случая - жилой дом по ул. Ленина, 78, жилой дом по ул. Чернышевского, 15а, жилой дом по ул. Коминтерна, 15); "
,,,,,,,"- незначительно повреждены 15 легковых автомобилей из-за упавшей ограждающей конструкции новостройки по ул. Луначарского, 3; "
,,,,,,,В результате происшествия погибших и пострадавших  нет. 
,,,,,,,"Устранением всех последствий занимаются коммунальные службы г. Перми, проблемных вопросов нет.  "
,,,,,,,"Общее количество жителей, обратившихся на телефоны экстренных служб по факту последствий происшествия составило 96 обращений. "
,,,,,,,
2018-08-06 19:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,Вечером 6 и ночью 7 августа местами по краю ожидается очень сильный дождь.,
2018-08-08 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,"вечером 08.08, ночью и днем 09.08 местами по краю ожидаются сильные дожди, по востоку очень сильные дожди.",
2018-08-21 12:00:00,"Осинский МР, Оханский МР, Очерский МР, ГО г. Оса, ГО г. Оханск, ГО г. Очер",,ОЯ,Метеорологическое,,21-22 августа местами по югу края ожидается 4 КПО.,
2018-08-26 00:00:00,"Частинский МР, Осинский МР, Оханский МР, Большесосновский МР, Очерский МР, ГО г. Оса, ГО г. Оханск, ГО г. Очер",,ОЯ,Метеорологическое,,26-08.08 местами по югу края сохранится высокая пожарная опасность 4 класс,
2018-08-27 04:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 27 и 28 августа местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°.",
2018-08-29 12:00:00,"Осинский МР, Оханский МР, Очерский МР", +,ОЯ,Метеорологическое,,с 29.08 по 01.09 местами по югу сохранится высокая пожарная опасность (4 КПО),
2018-08-31 02:00:00,Местами по краю,,НЯ,Агрометеорологическое, Заморозки,"местами по краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°.",
2018-09-09 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночью 09 и 10 сентября местами по ПК ожидаются заморозки в воздухе и на поверхности почвы 0,-3",
2018-09-11 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночью и утром 11 и 12.09 местами по краю заморозки в воздухе и на поверхности почвы 0, -3",
2018-09-22 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"ночью и утром 22 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -1,-3°.",
2018-12-03 09:35:00,Местами по краю, +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,3-4 декабря местами по ПК ожидается сильное сложное отложение 35 мм и более.,без последствий
2018-12-04 20:00:00,"Чердынский МР, Красновишерский МР, Гайнский МР", +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,05-07.12 местами по северу Пермского края сохраняется сильное сложное отложение на проводах 35 мм и более.,нет
2018-12-05 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,05-07.12 местами по северу Пермского края сохраняется сильное сложное отложение на проводах 35 мм и более.,
2018-12-08 00:00:00,"Александровский МР, Чердынский МР, Красновишерский МР, Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР, Гайнский МР, ГО г. Губаха", +,ОЯ,Метеорологическое,,"08-09 декабря, местами по северу и востоку края сохраняется сильное сложное отложение на проводах 35 мм и более.",
2018-12-09 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,          10-11.12 местами по северу и востоку Пермского края сохранится сильное сложное отложение на проводах 35 мм и более.,
2018-12-12 00:00:00,"Александровский МР, Чердынский МР, Кизеловский МР, Горнозаводский МР, Гайнский МР, ГО г. Гремячинск, ГО г. Губаха",,ОЯ,Метеорологическое,,12-14 декабря местами по северу и востоку ПК сохранится сильное-сложное отложение на проводах 35 мм и более,
2018-12-15 20:00:00,"Александровский МР, Чердынский МР, Красновишерский МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Гайнский МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Кизел, ГО г. Горнозаводск, ГО г. Красновишерск, ГО г.",,ОЯ,Метеорологическое,,,
2018-12-18 00:00:00,"Чердынский МР, Красновишерский МР, Гайнский МР", +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,            18-20.12 местами по северу Пермского края сохранится сильное сложное отложение на проводах 35 мм и более.,
2018-12-24 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,24-26.12 местами по северу Пермского края сохранится сильное сложное отложение на проводах 35 мм и более.,
2018-12-30 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,30.12.2018-01.01.2019гг. местами по северу края сохраняются сильные сложные отложения на проводах 35 мм и более.,без последствий.
2019-01-17 00:00:00,Местами по краю,,КНЯ,КНЯ," Низкая температура, метель, сильный ветер","17.01.2019 ожидается снег,местами сильный, в отдельных районах метель, порывы ветра 15-20 м/с",
2019-06-04 20:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое, Очень сильный ветер,Порывы 15-20 м/с,
2019-05-05 00:00:00,,,ОЯ,Метеорологическое, Аномально жаркая погода,5-14.05 на территории Пермского края и г.Перми ожидается аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7 градусов и более,
2019-05-05 00:40:00,Местами по краю,,ОЯ,Метеорологическое, Сильный туман,В ближайшие 1-2 часа с сохранением до конца ночи 05.05.2019 местами по востоку Пермского края ожидается туман с видимостью 50 м,
2019-05-05 12:00:00,"Александровский МР, Красновишерский МР, Лысьва (район) МР, Кизеловский МР, Горнозаводский МР",,ОЯ,Метеорологическое, Сильный туман,Днем 05 мая и ночью 06 мая местами по востоку Пермского края сохраниться туман с видимостью 50 м и менее.,
2019-05-15 08:00:00,Местами по краю, +,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,15-16 мая местами по пермскому краю сохраняется высокая пожарная опасность 4 класс,
2019-05-18 01:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"18-20 мая местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-3",
2019-05-22 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"23-24 местами по ПК сохранятся заморозки в воздухе и на поверхности почвы 0, -4. 25.05 повсеместно заморозки 0,-6",
2019-05-22 20:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","в отдельных районах сильные дожди, грозы, град.  Порывы ветра при грозе 15-20м/с",
2019-05-23 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","Местами по краю сильные дожди, гроза, при грозе порывы ветра 15-20 м/с",
2019-05-24 20:00:00,, +,ОЯ,Агрометеорологическое, Заморозки,25.05.2019 по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -6,
2019-05-27 08:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,Порывы ветра при грозе 15-20 м/с,
2019-05-27 20:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","ночью местами сильный дождь, грозы, при грозе порывы ветра 15-20 м/с",
2019-05-30 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"ночью сильные дожди; в отдельных районах грозы, порывы ветра при грозе 15-20 м/с",
2019-06-01 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","02 июня ночью ожидается облачно с прояснениями, кратковременные дожди, местами сильные, грозы, днем переменная облачность, в отдельных районах кратковременный дождь. Ветер северо-западный 5-10 м/с, при грозах порывы 15-20 м/с.",
2019-06-03 12:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Сильный ливень","Днем местими кратковременный дождь, по северу до сильного, гроза.При грозе порывы ветра 15-20м/с.",
2019-06-03 20:00:00,"Чердынский МР, Красновишерский МР, Верещагинский МР, Кудымкарский МР, Юсьвинский МР, Юрлинский МР, Гайнский МР, ГО г. Верещагино, ГО г. Красновишерск, ГО г. Чердынь, ГО г. Кудымкар",,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Крупный град","Ночью и утром 04.06.2019 дожди, местами сильные и очень сильные, грозы, крупный град, порывы ветра 17-22 м/с, при грозе 20-25 м/с",
2019-06-09 20:00:00,, +,НЯ,Метеорологическое," Очень сильный ветер , Крупный град","грозы, град, порывы ветра 15-20",
2019-06-12 08:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,порывы ветра 15-20 м/с,
2019-06-13 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью и утром 13 и 14 июня местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°.",
2019-06-13 20:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью и утром 14 июня местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°.",
2019-06-14 20:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"ночью и утром 15.06.2019 местами по Пермскому краю сохраняются заморозки в воздухе и на поверхности почвы о,-2.",без последствий
2019-06-19 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,При грозхе порывы ветра 15-20 м/с,
2019-06-22 20:00:00,ВСЕ муниципальные образования, +,НЯ,КНЯ," Очень сильный ветер , Сильный ливень , Крупный град , Град, ливень, сильный дождь, сильный ветер","прогноз оправдался по всей территории Пермского края локально, дождь, грозы, порывы ветра до 18 м/с.",без последствий
2019-06-29 09:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое, Очень сильный ветер,порывы вера при грозе 15-20 м/с,
